Timestamp,ESC_0_RPM,ESC_1_RPM,ESC_2_RPM,ESC_3_RPM,ESC_4_RPM,ESC_5_RPM,ESC_6_RPM,ESC_7_RPM
216788000,760,777,762,773,0,0,0,0
217036000,764,771,766,769,0,0,0,0
217288000,755,780,758,776,0,0,0,0
217536000,759,777,761,773,0,0,0,0
217788000,761,778,762,774,0,0,0,0
218036000,766,774,768,770,0,0,0,0
218288000,753,778,755,773,0,0,0,0
218536000,762,781,764,776,0,0,0,0
218788000,761,779,763,775,0,0,0,0
219036000,765,774,768,769,0,0,0,0
219284000,758,781,759,777,0,0,0,0
219536000,758,776,761,772,0,0,0,0
219788000,756,775,758,769,0,0,0,0
220036000,762,771,765,767,0,0,0,0
220284000,755,779,757,774,0,0,0,0
220536000,762,780,765,776,0,0,0,0
220788000,758,776,760,771,0,0,0,0
221036000,765,773,766,768,0,0,0,0
221284000,759,783,760,778,0,0,0,0
221532000,759,776,761,772,0,0,0,0
221788000,760,778,762,774,0,0,0,0
222036000,763,772,765,767,0,0,0,0
222288000,757,782,759,778,0,0,0,0
222532000,760,777,762,773,0,0,0,0
222788000,756,773,758,769,0,0,0,0
223036000,762,771,764,767,0,0,0,0
223284000,759,782,760,778,0,0,0,0
223532000,761,778,763,774,0,0,0,0
223788000,759,777,761,773,0,0,0,0
224036000,764,772,766,769,0,0,0,0
224288000,751,775,754,772,0,0,0,0
224532000,757,774,758,769,0,0,0,0
224788000,756,775,757,769,0,0,0,0
225036000,762,770,763,766,0,0,0,0
225288000,756,781,760,779,0,0,0,0
225536000,761,773,763,773,0,0,0,0
225788000,750,782,760,777,0,0,0,0
226036000,766,777,765,773,0,0,0,0
226284000,771,788,764,778,0,0,0,0
226532000,772,785,768,777,0,0,0,0
226788000,770,782,771,779,0,0,0,0
227036000,777,779,763,778,0,0,0,0
227288000,772,776,773,766,0,0,0,0
227532000,765,775,770,777,0,0,0,0
227788000,653,647,878,890,0,0,0,0
228036000,647,670,875,873,0,0,0,0
228284000,695,730,840,825,0,0,0,0
228536000,755,775,782,799,0,0,0,0
228788000,900,900,654,637,0,0,0,0
229036000,881,872,659,654,0,0,0,0
229288000,801,818,707,726,0,0,0,0
229536000,754,763,765,781,0,0,0,0
229788000,716,766,790,808,0,0,0,0
230036000,737,749,794,797,0,0,0,0
230284000,745,769,777,795,0,0,0,0
230532000,757,775,767,777,0,0,0,0
230788000,761,779,755,767,0,0,0,0
231036000,769,776,759,761,0,0,0,0
231284000,762,786,756,773,0,0,0,0
231536000,762,780,761,771,0,0,0,0
231788000,761,778,761,773,0,0,0,0
232036000,765,773,768,771,0,0,0,0
232288000,757,782,761,779,0,0,0,0
232532000,759,777,763,774,0,0,0,0
232788000,760,779,763,776,0,0,0,0
233036000,764,773,766,769,0,0,0,0
233284000,756,781,758,775,0,0,0,0
233536000,761,778,763,773,0,0,0,0
233788000,759,778,762,773,0,0,0,0
234036000,765,774,768,769,0,0,0,0
234288000,755,780,758,776,0,0,0,0
234532000,760,777,762,772,0,0,0,0
234788000,757,775,759,770,0,0,0,0
235036000,760,769,763,764,0,0,0,0
235284000,754,778,756,773,0,0,0,0
235536000,757,775,759,771,0,0,0,0
235788000,759,777,761,772,0,0,0,0
236036000,768,776,770,772,0,0,0,0
236288000,761,786,764,781,0,0,0,0
236536000,762,779,764,775,0,0,0,0
236788000,761,779,763,774,0,0,0,0
237036000,763,770,764,766,0,0,0,0
237288000,755,778,757,774,0,0,0,0
237536000,756,775,759,771,0,0,0,0
237788000,754,771,756,767,0,0,0,0
238036000,759,768,762,763,0,0,0,0
238284000,755,780,758,775,0,0,0,0
238532000,765,782,767,778,0,0,0,0
238788000,764,782,767,778,0,0,0,0
239036000,763,773,766,768,0,0,0,0
239284000,755,779,757,774,0,0,0,0
239536000,758,776,760,771,0,0,0,0
239788000,759,776,760,772,0,0,0,0
240036000,763,772,766,768,0,0,0,0
240288000,753,778,755,773,0,0,0,0
240532000,756,773,758,768,0,0,0,0
240788000,758,775,760,771,0,0,0,0
